Common_Name,Species,Phylum,Class,Order,Family,Chromossome_number_F,Chromossome_number_M,Genes_coding,Genes_non_coding,SRY,Lifespan,Diet,Accesory_glands_number,B,P,S,A,CG,Combined_Accessory_gland_mass,Acessory_glands_BW,Male_Body_mass,Combined_testis_mass,testis_BW,Testis_location,epidydydmis,Combined_epididymis_weight,epidydymis_BW,Penis_Bulbus_glands,penis,penis_bone,Penis_morphology,Ejaculation_site,Ejaculate_characteristics,Fractioned_Ejaculate,Seminiferous_epithelium_cycle_length,spermatogenesis_lenght,epididymal_transit/maturation_length,sperm_head_length,sperm_size_total,sperm_head_shape,Sperm_number_cauda,Sperm_Concentration_ejaculate,Ejaculate_collection_method,Ejaculate_volume,Total_sperm_ejaculate,Motility,Normal,Viability,Sperm_storage,Intromission_duration,Multiple_intromission,mating_strategy,Induced_ovulation,solitary_group,offspring_number,seasonality,multiples_males,earliest_puberty_age_M,earliest_puberty_age_F,Female_Body_Mass,multiple_ovulation,oocyte_stage_ovulation,diapause,oviduct,oviduct_lenght,internal_external_fertilization,Cycle_Length,Length_receptvivity,reproductive_senescence_F,gestation_length,Combined_ovary_weight,ovary_BW,uterus_morphology,folliculogenesis_length,placenta_morphology,placenta_molecular,Age_eyes_open,Lactation_length,Endangered_Status,Population,Hemisphere
Mink,Mustela lutreola,Chordata,Mammalia,Carnivora,Mustelidae,30,30,NA,NA,,11.4,C,,N,Y,N,,,0.013,0.001,1942,2.71,0.14,E,Y,0.55,0.03,,Y,Y,,,,,,,,7,43,O,100,3.75,EE,0.21,0.79,60,NA,NA,,,N,PG,Y,S,M,W,Y,10,10,780,Y,,Y,Y,,I,28.58,6.46,,57,0.22,0.0276,BC,,Z,EC,25,9,LC,NA,A
European Badger,Meles meles,Chordata,Mammalia,Carnivora,Mustelidae,44,44,NA,NA,,16,O,,N,Y,N,,,,,18000,10,0.06,E,Y,,,,Y,y,,,,,,,,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,,,,SP,Y,G,M,N,,11,11,9980,Y,,Y,Y,,I,NA,NA,,49,,,,,Z,EC,35,13,LC,NA,N
Ferret,Mustela putorius,Chordata,Mammalia,Carnivora,Mustelidae,40,40,19816,4257,,11,C,,N,Y,N,,,,,1523.5,7.88,0.52,E,Y,0.3,0.02,,Y,y,,,,,13,58.5,,NA,NA,R,219,397.45,EE,0.14,54.05,59.6,67.3,74.5,5.25,,,SP,Y,G,M,S,Y,6,6,794,Y,,N,Y,,I,NA,36,,42,,,BC,,Z,EC,35,6.5,LC,NA,A
European Otter,Lutra lutra,Chordata,Mammalia,Carnivora,Mustelidae,38,38,NA,NA,,22,C,,N,Y,N,,,4.21,0.049,8662.5,7.43,0.09,E,Y,,,,Y,Y,,,,,,,,6.49,70.34,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,SP,Y,S,M,N,N,18,18,6000,Y,,N,Y,,I,NA,NA,,62,,,BC,,Z,EC,32,16,NT,NA,A
Walrus,Odobenus rosmarus,Chordata,Mammalia,Carnivora,Odobenidae,32,32,19472,233,,30.6,C,,N,Y,N,,,,,1224000,,,I,Y,,,,Y,Y,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,SP,,G,S,W,,84,60,862000,N,,Y,Y,,I,NA,NA,,450,,,BC,,L,EPC,0,96,VU,112500,N
California Sea Lion,Zalophus californianus,Chordata,Mammalia,Carnivora,Otariidae,36,36,21397,5732,,30,C,,,Y,N,,,,,350000,,,I,Y,,,,Y,Y,,,,,,,,4,36,R,NA,NA,NA,NA,NA,NA,NA,NA,,,,SP,,G,S,S,,48,48,100000,N,,Y,Y,,I,NA,NA,,330,,,BC,,L,EPC,0,36,LC,180000,N
Gray Seal,Halichoerus grypus,Chordata,Mammalia,Carnivora,Phocidae,32,32,21245,12428,,43,C,,,Y,N,,,,,400000,,,I,Y,,,,Y,Y,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,SP,,G,S,W,,36,36,245000,N,,Y,Y,,I,NA,NA,,334.5,,,BC,,L,EPC,0,2.5,LC,316000,N
Brown bear,Ursus arctos,Chordata,Mammalia,Carnivora,Ursidae,74,74,NA,NA,,50,O,,,Y,N,,,,,208400,68.6,0.03,E,Y,19,0.01,,Y,Y,,,,,,,,7,66,R,640,185.28,EE,2.45,453.94,77.17,78,90,,1020.00,N,PG,Y,S,M,S,Y,42,36,157500,Y,,Y,Y,,I,NA,25,348,225,,,BC,,D,EC,42,156,LC,110000,N
Polar bear,Ursus maritimus,Chordata,Mammalia,Carnivora,Ursidae,74,74,20419,6741,,38.2,C,,,Y,N,,,,,410000,143.4,0.03,E,Y,,,,Y,Y,,,,,,,,5,47,R,NA,630,EE,0.51,320.67,64,NA,NA,,,,SP,Y,S,M,S,,42,42,320000,Y,,Y,Y,,I,NA,NA,,230,,,BC,,DZ,EC,30,130,VU,26000,N
Sloth bear,Melursus ursinus,Chordata,Mammalia,Carnivora,Ursidae,74,74,NA,NA,,40,O,,,Y,N,,,,,140600,,,E,Y,,,,Y,Y,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,,,M,YN,,36.5,36.5,95000,Y,,Y,Y,,I,NA,NA,,197,,,BC,,DZ,EC,24,52,VU,20000,N
