Common_Name,Species,Phylum,Class,Order,Family,earliest_puberty_age_F_(months),Female_Body_Mass_(g),oviduct_lenght_(mm),Cycle_Length_(days),Length_receptvivity_(days),reproductive_senescence_F_(months),gestation_length_(days),Combined_ovary_weight_(g),ovary_%BW,folliculogenesis _length_(days),Age_eyes_open_(days),Lactation_length_(weeks)
Southern two-toed sloth,Choloepus didactylus ,Chordata,Mammalia,Pilosa,Megalonychidae,36.00,8400.00,,31.40,55.00,,289.50,,,,0.00,20.00
Rat,Rattus norvegicus,Chordata,Mammalia,Rodentia,Muridae,1.67,267.00,,4.50,0.83,20.00,24.00,,,,15.00,4.00
Mouse,Mus musculus,Chordata,Mammalia,Rodentia,Muridae,1.00,15.00,,4.50,0.63,8.00,19.00,0.04,0.27,,14.00,3.00
Mink,Mustela vison,Chordata,Mammalia,Carnivora,Mustelidae,10.00,780.00,,28.58,6.46,,57.00,0.22,0.03,,25.00,9.00
European Badger,Meles meles,Chordata,Mammalia,Carnivora,Mustelidae,11.00,9980.00,,NA,NA,,49.00,,,,35.00,13.00
Ferret,Mustela putorious furo,Chordata,Mammalia,Carnivora,Mustelidae,6.00,794.00,,NA,36.00,,42.00,,,,35.00,6.50
European Otter,Lutra lutra,Chordata,Mammalia,Carnivora,Mustelidae,18.00,6000.00,,NA,NA,,62.00,,,,32.00,16.00
Giant anteater,Myrmecophaga tridactyla,Chordata,Mammalia,Pilosa,Myrmecophagidae,30.00,315000.00,,55.00,2.50,,183.67,,,,6.00,43.00
Lesser anteater,Tamandua tetradactyla,Chordata,Mammalia,Pilosa,Myrmecophagidae,12.00,4830.00,,42.50,9.50,,160.00,,,,,
Walrus,Odobenus rosmarus,Chordata,Mammalia,Carnivora,Odobenidae,60.00,862000.00,,NA,NA,,450.00,,,,0.00,96.00
Platypus,Ornithorhynchus anatinus,Chordata,Mammalia,Monotremata,Ornithorhynchidae,24.00,1300.00,,41.00,29.60,,16.25,,,,77.00,19.07
California Sea Lion,Zalophus californianus,Chordata,Mammalia,Carnivora,Otariidae,48.00,100000.00,,NA,NA,,330.00,,,,0.00,36.00
Common brushtail possum,Trichosurus vulpecula,Chordata,Mammalia,Diprotodontia,Phalangeridae,12.00,3150.00,,27.00,NA,,17.50,,,,60.00,28.50
